id,bank,top,bottom,n,x,y,japanese,korean
site_00E72B,01,EE10,EE14,2,15,6,対,대
site_080107,10,8629,8631,4,3,9,{275}失{300},
site_080133,10,8639,8641,4,18,9,与後,
site_08015E,10,8649,8651,4,18,9,{2B7}球{2BA},
site_089839,11,990F,991F,8,20,7,準決勝,준결승
site_089861,11,992F,993F,8,20,7,決勝戦,결승전
site_089889,11,994F,995F,2,20,7,第,제
site_0898CE,11,9953,9963,5,24,7,回戦,회전
site_0898F5,11,9953,9963,5,24,7,回戦,회전
site_15FA7B,2B,FE38,FE42,5,13,11,モ{03C}うてめ,
site_15FAA5,2B,FE4C,FE56,4,13,13,ユ{05C}おな,
site_15FAE5,2B,FE6A,FE74,5,13,11,リぃくねら,
site_15FB0F,2B,FE7E,FE88,4,13,13,レぇこは,
site_15FB4F,2B,FE9C,FEA6,5,13,11,ンゅすへわ,
site_15FB79,2B,FEB0,FEBA,4,13,13,゜っそま,
tab_080385_00,10,83B9,83D1,12,0,0,{100}{101}熱血高校{100}{101}, 열혈고교
tab_080385_01,10,83E9,8401,12,0,0,{100}{101}花園高校{100}{101}, 하나조노고교
tab_080385_02,10,8419,8431,12,0,0,{100}{101}宝陵高校{100}{101}, 호료고교
tab_080385_03,10,8449,8461,12,0,0,霧雨実業高校,키리사메실업고교
tab_080385_04,10,8479,8491,12,0,0,白鷹工業高校,시라타카공업고교
tab_080385_05,10,84A9,84C1,12,0,0,{100}{101}冷峰学園{100}{101}, 레이호학원
tab_080385_06,10,84D9,84F1,12,0,0,愛然商業高校,아이젠상업고교
tab_080385_07,10,8509,8521,12,0,0,{100}{101}明暗高校{100}{101}, 메이안고교
tab_08413A_00,10,C16E,C190,17,0,0,{100}{100}熱{100}血{100}高{100}校{100}{100}{100}{100}, 열혈고교
tab_08413A_01,10,C1B2,C1D4,17,0,0,{100}{100}花{100}園{100}高{100}校{100}{100}{100}{100}, 하나조노고교
tab_08413A_02,10,C27E,C2A0,17,0,0,{100}{100}宝{100}陵{100}高{100}校{100}{100}{100}{100}, 호료고교
tab_08413A_03,10,C306,C328,17,0,0,霧{100}雨{100}実{100}業{100}高{100}校,키리사메실업고교
cnt_08C986_00,11,C9B2,C9CA,12,0,0,{100}{100}熱血高校{100}{100},    열혈고교
cnt_08C986_01,11,C9E4,C9FC,12,0,0,{100}{100}花園高校{100}{100},  하나조노고교
cnt_08C986_02,11,CA16,CA2E,12,0,0,{100}{100}宝陵高校{100}{100},    호료고교
cnt_08C986_03,11,CA48,CA60,12,0,0,霧雨実業高校,키리사메실업고교
cnt_08C986_04,11,CA7A,CA92,12,0,0,白鷹工業高校,시라타카공업고교
cnt_08C986_05,11,CAAC,CAC4,12,0,0,{100}{100}冷峰学園{100}{100},   레이호학원
cnt_08C986_06,11,CADE,CAF6,12,0,0,愛然商業高校, 아이젠상업고교
cnt_08C986_07,11,CB10,CB28,12,0,0,{100}{100}明暗高校{100}{100},   메이안고교
cnt_08C986_08,11,CB42,CB5A,12,0,0,{100}黒龍山学院{100},  코쿠류잔학원
cnt_08C986_09,11,CB74,CB8C,12,0,0,夢園商業高校,유메조노상업고교
cnt_08C986_10,11,CBA6,CBBE,12,0,0,{100}{100}谷花高校{100}{100},  타니바나고교
cnt_08C986_11,11,CBD8,CBF0,12,0,0,{100}{100}服部学園{100}{100},   핫토리학원
cnt_08C986_12,11,CC0A,CC22,12,0,0,{100}{100}全米チム{100}{100},   전미 선발
cnt_08C986_13,11,CC3C,CC44,4,0,0,{275}失{300},
cnt_08C986_14,11,CC4E,CC56,4,0,0,与後,
cnt_08C986_15,11,CC60,CC68,4,0,0,{2B7}球{2BA},
cnt_08C986_16,11,CC72,CC82,8,0,0,練習試合,연습 시합
cnt_08C986_17,11,CC94,CCA4,8,0,0,決勝戦,결승전
cnt_08C986_18,11,CCB6,CCC6,8,0,0,準決勝戦,준결승전
cnt_08C986_19,11,CCD8,CCE2,5,0,0,先{100}攻, 선공
cnt_08C986_20,11,CCEE,CCF8,5,0,0,後{100}攻, 후공
row_2BF6D6,2B,F6D6,F6EA,10,0,0,つかわれていません,사용 안 함
row_2BF7A2,2B,F7A2,F7B6,10,0,0,準決勝,준결승
row_2BF7CA,2B,F7CA,F7DE,10,0,0,決勝戦,결승전
row_2BF7F2,2B,F7F2,F806,10,0,0,第回戦,제    회전
row_2BF841,2B,F841,F855,10,0,0,データがきえました,데이터 삭제됨
rec_088C9F_00,11,8CE6,8CF0,5,11,7,モート”,스토리
rec_088C9F_01,11,8CFD,8D07,5,2,10,はじめから,처음부터
rec_088C9F_02,11,8D14,8D1E,5,9,10,つづきから,이어서
rec_088C9F_03,11,8D2B,8D33,4,1,13,やさしく,초급
rec_088C9F_04,11,8D3E,8D44,3,7,13,ふつう,중급
rec_088C9F_05,11,8D4D,8D53,3,12,13,むずい,상급
rec_088C9F_06,11,8D5C,8D66,5,1,17,きろく1.,기록1.
rec_088C9F_07,11,8D73,8D7D,5,1,21,きろく2.,기록2.
rec_088C9F_08,11,8D8A,8D94,5,1,25,きろく3.,기록3.
rec_088C9F_09,11,8DA1,8DA9,4,18,10,ひとりで,혼자서
rec_088C9F_10,11,8DB4,8DBC,4,25,10,ふたりで,둘이서
rec_088C9F_11,11,8DC7,8DDB,10,18,13,イニング09かい,이닝       회
rec_088C9F_12,11,8DF2,8DFA,4,18,16,かぜあり,바람
rec_088C9F_13,11,8E05,8E0D,4,26,16,かぜなし,무풍
rec_088C9F_14,11,8E18,8E24,6,17,19,コールドあり,콜드게임
rec_088C9F_15,11,8E33,8E3F,6,25,19,コールドなし,콜드없음
rec_088C9F_16,11,8E4E,8E58,5,17,22,ねっけつG,열혈 구장
rec_088C9F_17,11,8E65,8E73,7,24,22,ネオスタジアム,네오 구장
rec_088C9F_18,11,8E84,8E88,2,19,25,OK,OK
rec_088C9F_19,11,8E8F,8E99,5,25,25,やりなおし,다시하기
